m,period,distinct_K,K_min,K_max,K_range,K_counter_str
542,1087,5,4346,4370,24,4346:1;4350:542;4354:1;4364:1;4370:542
552,1107,4,4418,4472,54,4418:2;4442:551;4446:553;4472:1
611,1225,5,4906,4946,40,4906:611;4918:1;4922:2;4932:1;4946:610
742,1487,5,5974,5990,16,5974:744;5978:2;5986:1;5988:1;5990:739
744,1491,5,5974,5990,16,5974:745;5978:2;5986:1;5988:1;5990:742
1063,2129,6,8502,8538,36,8502:1;8506:1060;8520:1;8522:4;8526:3;8538:1060
1274,2551,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:2
1275,2553,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:4
1317,2637,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:88
1320,2643,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:94
1324,2651,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:102
1325,2653,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:104
1326,2655,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:106
1331,2665,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:116
1336,2675,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:126
1341,2685,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:136
1346,2695,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:146
1348,2699,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:150
1351,2705,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:156
1359,2721,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:172
1372,2747,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:198
1377,2757,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:208
1379,2761,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:212
1382,2767,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:218
1383,2769,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:220
1387,2777,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:228
1392,2787,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:238
1399,2801,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:252
1414,2831,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:282
1423,2849,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:300
1431,2865,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:316
1439,2881,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:332
1442,2887,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:338
1449,2901,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:352
1451,2905,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:356
1457,2917,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:368
1462,2927,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:378
1464,2931,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:382
1466,2935,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:386
1479,2961,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:412
1480,2963,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:414
1483,2969,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:420
1533,3069,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:520
1537,3077,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:528
1607,3217,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:668
1610,3223,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:674
1617,3237,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:688
1679,3361,4,10194,10206,12,10194:1;10200:1;10202:2547;10206:812
