m, repeat_after, max_value, most_common_tail_value, cycle_length, cycle_max, cycle_min, distinct_tail_values
1300, 4982732996, 18724, 10438, 1301, 10438, 10430, 3
1301, 298793637, 18442, 10438, 1302, 10438, 10430, 3
1302, 8819599153, 19310, 10438, 1303, 10438, 10430, 3
1303, 2167857847, 18362, 10438, 1304, 10438, 10430, 3
1304, 6705837465, 19831, 10482, 69223, 10598, 10428, 74
1305, 640088683, 17788, 9402, 1306, 9406, 9394, 4
1306, 2529455672, 18482, 9402, 1307, 9406, 9394, 4
1307, 529364346, 18917, 10514, 10473, 10558, 10450, 39
1308, 5762564445, 19174, 10514, 5243, 10534, 10470, 20
1309, 3727174992, 19454, 10534, 1311, 10534, 10488, 5
1310, 712981045, 18570, 10534, 2626, 10534, 10480, 12
1311, 1908134355, 18714, 10534, 1313, 10534, 10488, 4
1312, 3039866384, 19637, 10534, 10518, 10598, 10488, 39
1313, 4842792934, 19024, 10194, 1314, 10198, 10194, 3
1314, 16513326995, 19653, 7558, 1315, 7558, 7546, 5
1315, 50660523876, 19808, 9402, 1316, 9406, 9394, 4
1316, 2941215267, 18958, 10194, 1317, 10198, 10194, 3
1317, 135799242, 18606, 10194, 2637, 10202, 10184, 7
1318, 1750989888, 18520, 9402, 1319, 9406, 9394, 4
1319, 13774374286, 19094, 7558, 1320, 7558, 7546, 5
1320, 36973641826, 20120, 10194, 2643, 10202, 10184, 7
1321, 67258711623, 19644, 9402, 1322, 9406, 9394, 4
1322, 10030193557, 19079, 9402, 1323, 9406, 9394, 4
1323, 16882524174, 19330, 7558, 1324, 7558, 7546, 5
1324, 14016684181, 19134, 10194, 2651, 10202, 10184, 7
1325, 2230078210, 18906, 10194, 2653, 10202, 10184, 7
1326, 10535556379, 19660, 10194, 2655, 10202, 10184, 7
1327, 13185868331, 19948, 9402, 1328, 9406, 9394, 4
1328, 4640274892, 19490, 10194, 1330, 10202, 10180, 6
1329, 13869559463, 20765, 10194, 1331, 10202, 10180, 6
1330, 18314647893, 21234, 9406, 1331, 9406, 9394, 4
1331, 17294268292, 20408, 10194, 2665, 10202, 10184, 7
1332, 49763196699, 20158, 6729, 1333, 6729, 6723, 4
1333, 53213653658, 20274, 10194, 1334, 10198, 10194, 3
1334, 10270715688, 19718, 10186, 1339, 10198, 10120, 18
1335, 27339693688, 20162, 10194, 1337, 10202, 10180, 6
1336, 12122114726, 19714, 10194, 2675, 10202, 10184, 7
1337, 10795828189, 19806, 9402, 1338, 9406, 9394, 4
1338, 7210054441, 19447, 9402, 1339, 9406, 9394, 4
1339, 150651517, 18346, 9402, 1340, 9406, 9394, 4
1340, 120559751, 18343, 9402, 1341, 9406, 9394, 4
1341, 7562511051, 19382, 10194, 2685, 10202, 10184, 7
1342, 609158409, 19186, 9402, 1343, 9406, 9394, 4
1343, 1598066221, 18840, 9402, 1344, 9406, 9394, 4
1344, 8292427506, 19868, 9402, 1345, 9406, 9394, 4
1345, 12737067588, 19273, 9402, 1346, 9406, 9394, 4
1346, 1222511144, 19444, 10194, 2695, 10202, 10184, 7
1347, 31265479794, 20060, 9402, 1348, 9406, 9394, 4
1348, 873328245, 19438, 10194, 2699, 10202, 10184, 7
1349, 5096404522, 19876, 10194, 1350, 10198, 10194, 3
